,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Godzilla Wiki,http://de.godzilla.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/1/12/Godzilla320.jpg,"Das Godzilla-Wiki ist eine Plattform für alle Fans des japanischen Kult-Monsters, das bereits seit 1954 in ca. 30 Filmen für Aufruhr in der ganzen Welt sorgt. Hier findest du allerlei Hintergrundinformationen zu Godzilla selbst, den Filmen und den vielen anderen Monstern.",,,,,
,Reborn! Wiki,http://de.hitmanreborn.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/f/fb/Reborn320.jpg,"Das Reborn-Wiki ist ein deutschsprachiges Wiki zu allem rund um die Manga- und Anime-Serie Hitman: Reborn. Hier kannst du alles nachlesen, was du noch nicht wusstest oder vergessen hast, und den Rest der Community mit deinem Wissen bereichern. ",http://images1.wikia.nocookie.net/joeplayground/images/d/dd/HitmanReborn2.jpg,,,,
,DragonAge Wiki,http://de.dragonage.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/5/5c/DragonAge320.jpg,"Im Dragon Age-Wiki findet man alles rund um die Dragon Age Spiele sowie deren Add-Ons. Hier gibt es Infos von den Charakteren, über Rüstungen und Waffen bis hin zu Quests und Erfolgen.",,,,,
,Wiki-Nui,http://de.bionicle.wikia.com/,Toys,http://images3.wikia.nocookie.net/joeplayground/images/8/82/Bionicle320.jpg,"Im Wiki-Nui, dem deutschen Wiki zur Bionicle-Reihe von Lego behandeln wir auf fast 1400 Seiten alles zur Bionicle-Welt. Hier findet man zahlreiche Informationen zu Charakteren, Bionicle-Sets und dem Bionicle-Universum.",,,,,
,Red Dead Wiki,http://de.reddead.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/3/3e/RedDead320.jpg,"Wir erstellen das größte deutsche Nachschlagewerk zu Red Dead Redemption - und jeder kann mithelfen! Mach dich gemeinsam mit John Marsten auf die Reise durch den wilden Westen an der Grenze zu Mexiko und teile mit der Community, was du dabei erlebst!",http://images3.wikia.nocookie.net/joeplayground/images/1/1d/RDR2.jpg,,,,
,Mass Effect Wiki,http://de.masseffect.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/5/5e/MassEffect320.jpg,"Das Mass Effect-Wiki wurde im Februar 2010 gegründet und enthält in bisher knapp 900 Artikeln alle Fakten rund ums Mass Effect-Universum. Neben den Spielen findet ihr hier auch Informationen zu den Büchern, Comics und sonstigen Ablegern. Wir wünschen euch viel Spaß beim stöbern, lesen und mitarbeiten!",http://images1.wikia.nocookie.net/joeplayground/images/2/2e/MassEffect2.jpg,,,,
,Drakensang Wiki,http://drakensang.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/d/d0/Drakensang1.jpg,"Im Drakensang-Wiki findest du alle Informationen rund um das Computer-Rollenspiel Das Schwarze Auge: Drakensang. Falls du Informationen zum Prequel Drakensang - Am Fluss der Zeit sucht, wirst du im Am Fluss der Zeit Wiki und für das Addon im Phileassons Geheimnis Wiki fündig.",http://images1.wikia.nocookie.net/joeplayground/images/2/26/Drakensang2.jpg,,,,
,Shakes & Fidget Wiki,http://de.sfgame.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/e/ec/ShakesandFidget1.jpg,"Im Shakes und Fidget-Wiki findest du alles was das Abenteurerherz begehrt: Monster, Quests, Items und ne Menge Geschreibsel über irgendwelche Typen, die noch gar keinen Namen haben. Mach mit, und hilf uns dabei, die Datenbank auszubauen! Wir freuen uns über jeden Helfer. ",http://images1.wikia.nocookie.net/joeplayground/images/8/80/ShakesandFidget2.jpg,,,,
,Gokupedia,http://de.dragonball.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/2/2d/DragonBall320.jpg,Gokupedia ist ein Online-Nachschlagewerk über die Welt der Manga- und Anime-Reihe mit dem Titel Dragonball. Der Name leitet sich von dem Namen den Hauptcharakters Son Goku und dem englischen Wort für Enzyklopädie (also encyclopedia) ab. Diese Seite und ihr angebotener Inhalt leben von ihren Bearbeitern.,http://images3.wikia.nocookie.net/joeplayground/images/e/ef/SonGoku2.png,,,,
,WOWWiki,http://de.wow.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/7/77/WoWWiki320.jpg,"Im WoW-Wiki findest du alles Wissenswerte über World of Warcraft. Das Massen-Multiplayer-Online-Rollenspiel, das zehntausende Spieler gleichzeitig zusammen über das Internet spielen, wurde 2004 von dem Unternehmen Blizzard Entertainment veröffentlicht und ist, wie drei weitere Spiele, im Warcraft-Universum angesiedelt.",http://images2.wikia.nocookie.net/joeplayground/images/6/6f/WoW2.jpg,,,,
,Professor Layton Wiki,http://de.layton.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/3/38/Professor_Layton1.jpg,"Das Professor Layton-Wiki beschäftigt sich mit allem aus der komplexen Welt rund um den cleveren Archäologen Hershel Layton. Bei uns findest du  Infos zu den Büchern, Mangas, Filmen und Spielen und kannst dich mit anderen Community-MItgliedern über die kniffligen Rätsel beraten. ",http://images1.wikia.nocookie.net/joeplayground/images/3/3f/Professor_Layton2.jpg,,,,
,Dragonvale Wiki,http://de.dragonvale.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/c/c3/Dragonvalewiki.png,"Im DragonVale-Wiki beschäftigen wir uns mit dem gleichnamigen Videospiel der Backflip Studios, dass kostenlos im Apple App Store runter geladen werden und auf iPad, iPhone und iPod Touch gespielt werden kann. Bei uns findest du alle nützlichen Infos zu Drachen, Elementen und vielem mehr.",http://images3.wikia.nocookie.net/joeplayground/images/a/a7/DragonVale.png,,,,
,Venetica Wiki,http://de.venetica-scarlett.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/c/c8/VeneticaScarlett1.jpg,"Im Venetica-Wiki findest du alle Informationen rund um das Computer-Rollenspiel. Im Sommer des Jahres 1538 entdeckt die junge Scarlett ihr düsteres Geheimnis - sie ist die Tochter von Gevatter Tod. Nichts von ihrer Herkunft ahnend, muss sie sich nun ihrem Schicksal stellen und ihre Gaben beherrschen lernen, um ihren Vater zu retten ...",http://images4.wikia.nocookie.net/joeplayground/images/d/d9/VeneticaScarlett2.jpg,,,,
,Legopedia,http://de.lego.wikia.com/,Toys,http://images2.wikia.nocookie.net/joeplayground/images/b/b8/Brickipedia320.jpg,Die Legopedia behandelt alles rund um das Thema Lego. Hier werden alle Artikel chronologisch eingeordnet und man findet Infos rund um das Legouniversum.,,,,,
,Battlefield Wiki,http://de.battlefield.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/d/d2/Battlefield320.jpg,"Das Battlefield-Wiki handelt über die Computerspieleserie von DICE, die ihr erste Spiel 2002 veröffentlichten. Spiele aus der Battlefield-Reihe legen viel Wert auf Teamwork und Taktik. In Battlefield gibt es Panzer, Flugzeuge, Schiffe, U-Boote und weitere Fahrzeuge, die hier mit vielen anderen Objekten und Zielen des Spieles beschrieben werden. ",,,,,
,Eragon Wiki,http://de.eragon.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/1/1e/TopWikiEragon320.jpg,"Das Eragon Wiki ist eine Enzyklopädie rund um Christopher Paolinis Eragon. Hier kann man alles über die Bücher, Personen, Drachen und vieles mehr finden.",,,,,
,Ben 10 Wiki,http://de.ben10.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/8/86/Ben10-320.jpg,"Ben 10 ist eine US-amerikanische Zeichentrickserie, in der es um den 10-jährigen Ben geht, der während seiner Sommerferien mit seinem Großvater Maxwell Tennyson und seiner gleichaltrigen Cousine Gwendolyn Tennyson bei einem Campingausflug ein außerirdisches Gerät findet, das ihm die Fähigkeit verleiht, sich in bis zu zehn verschiedene Aliens verwandeln zu können.",,,,,
