Wiki name,Wiki URL,Vertical,Image,Description
Terraria Wiki,terraria.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/c/c8/Terraria320.jpg,"Whether you're looking for information on monsters, items, weapons, NPCs or crafting recipes, if it exists in Terraria, you'll find it at Terraria Wiki. While you're there, be sure to check out the many helpful videos, as well as the fan art."
Star Wars: The Old Republic Wiki,swtor.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/b/b2/SWTOR320.jpg,"The Old Republic Wiki is a fan-created database for Star Wars: The Old Republic including classes, species, locations, starships, creatures, equipment, guilds, and more. You can also find information on Knights of the Old Republic 1 and 2."
Sonic News Network,sonic.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/1/13/Sonic320.jpg,"The Sonic News Network is a collaborative encyclopedia for everything related to the Sonic the Hedgehog series, covering the games and their spin-offs, heroes, anti-heroes, villains, comics, shows, and more."
Saints Row Wiki,saintsrow.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/0/0c/SaintsRow320.jpg,"Saints Row Wiki is a community site about the Saints Row series, with mission guides, secrets, maps and more. Discover and contribute your knowledge about Saints Row, Saints Row 2 and Saints Row: The Third! "
RuneScape Wiki,runescape.wikia.com,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/6/6e/RuneScape320.jpg,"Started in April of 2005, the RuneScape Wiki's goal is to remain a vast, knowledgeable source for all things in RuneScape. It contains a guide to every quest, a treasure trails guide, and over 20,000 articles about items, locations and monsters."
Resident Evil Wiki,residentevil.wikia.com,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/de/ResidentEvil320.jpg,"Resident Evil Wiki is one of the largest sources for Resident Evil information on the Internet, containing articles on areas, characters, items, bosses, live-action actors, voice actors, game designers, and much more."
Red Dead Wiki,reddead.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/3/3e/RedDead320.jpg,"Red Dead Wiki is a community-built site about Red Dead Revolver and Red Dead Redemption where you will find walkthroughs as well as information on characters, weapons, outfits, hunting, activities, multiplayer and more."
The Morphin Grid,powerrangers.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/d/d3/PowerRangers320.jpg,"The Morphin Grid is a collaborative repository for everything related to Power Rangers and Super Sentai, covering not only all Ranger Teams' powers, but also every Ranger to ever serve the side of good, and every villain to ever oppose them."
Pokémon Wiki,pokemon.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/e/ed/Pokemon320.jpg,"Pokémon Wiki is a community-driven site dedicated to the entire Pokémon franchise. With over 5,000 pages, you'll find all generations of Pokémon, as well as information on all of the anime, games, characters, and more."
One Piece Wiki,onepiece.wikia.com,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/2/2e/OnePiece320.jpg,One Piece Wiki is the encyclopedia for the anime and manga of One Piece. Contribute to the wiki today and help build the most informative site for everything related to Eiichiro Oda and his most notable work.
Nukapedia,fallout.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/9/9b/Fallout320.jpg,"Created and maintained by the fans, for the fans, Nukapedia: The Fallout Wiki aims to create the best resource for the Fallout series of games, including Fallout, Fallout 2, Fallout 3, Fallout: New Vegas and their spin-offs. "
Nonsensopedia (Polish),nonsensopedia.wikia.com,-,,(Polish wiki)
Nonciclopedia (Italian),nonciclopedia.wikia.com,-,,(Italian wiki)
Narutopedia,naruto.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/c/cc/Naruto320.jpg,"Narutopedia is the community encyclopedia about the anime, manga, movies, games, and characters of Masashi Kishimoto's Naruto and his dream to become a Hokage, who is acknowledged as the leader and strongest of all ninja in the village. "
Naruto Wiki (Spanish),es.naruto.wikia.com,-,,(Spanish wiki)
My Little Pony Wiki,mlp.wikia.com,Entertainment
Muppet Wiki,muppet.wikia.com,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/f/fd/Muppets320.jpg,"With more than 24,000 pages and 75,000 pictures, Muppet Wiki is a collaborative, comprehensive encyclopedia for everything related to Jim Henson, Sesame Street, The Muppet Show, and The Muppets Studio."
Monster Hunter Wiki,monsterhunter.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/3/3c/MonsterHunter320.jpg,"Hunters unite! Monster Hunter Wiki is the ultimate guide for the Monster Hunter series, documenting all of the games (English and Japanese), monsters, quests, weapons, items, areas, music and much more. "
Memory Alpha,en.memory-alpha.org,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/7/78/MemoryAlpha320.jpg,"Created in 2003 and consisting of more than 38,000 pages, Memory Alpha is a collaborative project to create the most definitive, accurate, and accessible encyclopedia and reference for everything related to Star Trek."
Mass Effect Wiki,masseffect.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/5/5e/MassEffect320.jpg,"Widely regarded as the most complete resource for Mass Effect on the web, Mass Effect Wiki contains every bit of information you could possibly want to find about this epic trilogy, including the games, books, and comics."
Marvel Comics Database,marvel.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/e/ee/Marvel320.jpg,"With more than 93,000 pages, the Marvel Comics Database is the largest online database pertaining to Marvel Comics, covering all the comics, characters, and movies. If you are a member of the Marvel fanbase, this is your home."
Lyric Wiki,lyrics.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/7/7e/Lyrics320.jpg,"LyricWiki is a free wiki website where anyone can get reliable lyrics for any song by any artist. You can also browse the top songs in iTunes. Search for song lyrics, or add your favorite song to the collection. "
League of Legends Wiki,leagueoflegends.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/d/d0/LeagueOfLegends320.jpg,"If you're a LoL player and want the ultimate guide to every aspect of the game, do yourself a favor and bookmark League of Legends Wiki. Here you will find everything you need to optimize your gameplay experience."
Kingdom Hearts Wiki,kingdomhearts.wikia.com,Video Games
Jedipedia (German),www.jedipedia.de,-,,(German wiki)
Harry Potter Wiki,harrypotter.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/8/82/HarryPotter320.jpg,"Harry Potter Wiki is a collaborative knowledge base about the widely-popular series by J. K. Rowling, including the books, movies, characters, and much more. Join the active community and share your enthusiasm for Harry Potter."
Halo Nation,halo.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/6/65/Halo320.jpg,"Halo Nation is the best place to learn everything about the Halo franchise. If you're a fan of Halo, this is the place for you. All information held within the wiki are related to Halo, either directly, or peripherally."
Gundam Wiki,gundam.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/d/d5/Gundam320.jpg,"The objective of Gundam Wiki, which began in January of 2005, is to serve the Gundam fanbase with a thorough and concise resource of information concerning all aspects of the Gundam metaseries, from the ficitional to the scientific."
GTA Wiki,gta.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/c/c7/GTA320.jpg,"GTA Wiki is a comprehensive database about the Grand Theft Auto series. The wiki is dedicated to collecting all information relating to GTA, including the games, characters, vehicles, locations, missions, weapons, modifications and more."
Glee Wiki,glee.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/3/3b/Glee320.jpg,"Glee Wiki is a community website about the FOX TV show Glee, including Glee Club, cast, music, episodes, and more. Join the community today and show how much of a Gleek you are by sharing your love of the show. "
Final Fantasy Wiki,finalfantasy.wikia.com,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/8/8d/FinalFantasy320.jpg,"Covering one of the most well-known video game series of all-time, Final Fantasy Wiki is dedicated to collecting information from elements of storyline and characters to gameplay and music, as well as everything in between."
FFXIclopedia,wiki.ffxiclopedia.org,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/5/5b/FFXIclopedia320.jpg,"Created in 2004, FFXIclopedia is the ultimate guide to Final Fantasy XI. With nearly 40,000 pages, you'll find a breadth of information covering quests, NPCs, creatures, weapons, armor, items, crafting, and much more."
Fallout Wiki (Russian),ru.fallout.wikia.com,-,,(Russian wiki)
Fairy Tail Wiki,fairytail.wikia.com,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/1/17/FairyTail320.jpg,"Fairy Tail Wiki is dedicated to everything about the Fairy Tail manga and anime created by Hiro Mashima. The community's goal is to archive Fairy Tail and all related material, including characters, locations, guilds, and more."
EQ2i,eq2.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/c/c5/EverQuest320.jpg,"EQ2i is an award-winning wiki about the MMORPG EverQuest 2 by Sony Online Entertainment, featuring nearly 60,000 pages on a wide variety of topics, such as quests, equipment, items, monsters, NPCs, and zones."
DragonVale Wiki,dragonvale.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/1/16/Dragonvale320.jpg,"DragonVale Wiki is an in-depth database for the popular iOS game, DragonVale. The wiki contains information on dragons, eggs, breeding, the market, treasure, habitats, islands, decorations, goals, rewards, updates, and more."
Dragon Ball Wiki,dragonball.wikia.com,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/2/2d/DragonBall320.jpg,"Dragon Ball Wiki covers all things related to the Dragon Ball franchise created by Akira Toriyama, including the manga series, three anime series, characters, collectible card game, and dozens of video game spin-offs."
