,Wiki name,URL,Vertical,Primary image,Description
,GearsPedia,http://es.gearsofwar.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/5/54/ES_GoW_480.png,"Novelas, cómics, figuras de acción y ahora una enciclopedia, todo gira alrededor de esta conocida saga de videojuegos, de hecho, es tan conocida que algunos dicen que junto al Jefe Maestro de Halo, es el personaje más conocido vinculado a la marca Microsoft. ¡Casi nada!"
,Super Mario Wiki,http://es.mario.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/4/4a/ES_Mario_480.png,"Super Mario Wiki es la enciclopedia en español dedicada al personaje estrella de la compañía Nintendo, Mario. El proyecto recopila toda la información relacionada con el popular personaje; incluyendo todos los videojuegos donde participa; con sagas propias como Mario Bros y otras como Super Smash o Donkey Kong."
,Silent Hill Wiki en español,http://es.silenthill.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/d/da/ES_Silent_Hill_480.png,Silent Hill Wiki en español es una enciclopedia dedicada a la franquicia de videojuegos de survival horror desarrollada por Konami. Se trata de un proyecto colaborativo que recopila toda la información de esta saga de grandes ventas buenas críticas; y que ha derivado en cómics y novelas y una serie de películas.
,Final Fantasy Wiki,http://es.finalfantasy.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/2/22/ES_Final_Fantasy_480.png,"Final Fantasy Wiki es una enciclopedia dedicada a la conocida saga de juegos RPG producida por Square Enix. Este proyecto recopila toda la información relacionada con esta franquicia; desde la exitosa serie de videojuegos de rol, y otros productos como los MMORPG, la película y las series de anime."
,Elder Scrolls,http://es.elderscrolls.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/e/ef/ES_Elder_Scroll_480.png,"Elder Scrolls Wiki es la enciclopedia en español dedicada a la saga de videojuegos de género rol desarrollada por Bethesda Softworks. Este proyecto intenta recopilar toda la información relacionada con estas entregas, desde Arena hasta el último y conocido Skyrim."
,Call of Duty Wiki,http://es.callofduty.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/3/3b/ES_Call_of_Duty_480.png,Call of Duty Wiki es la enciclopedia en español dedicada a la serie de videojuegos homónima. El proyecto recopila toda la información relacionada con la saga bélica de género shooter en primera persona distribuida por Activision; desde sus entregas clásicas hasta el esperado Black Ops 2.
,BakuganPedia,http://es.bakugan.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/1/1e/ES_Bakugan_480.png,BakuganPedia es la enciclopedia español dedicada a las batallas Bakugan. Se trata de un proyecto que intenta recopilar toda la información de este universo de juego de cartas estratégico; incluyendo las series de anime Los Peleadores de la Batalla Bakugan y Nueva Vestroia.
,Wiki Terraria,http://es.terraria.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/1/14/ES_Terraria_480.png,"Wiki Terraria es la enciclopedia en español dedicada al videojuego homónimo. Se trata de un proyecto colaborativo dedicado a recopilar toda la información sobre este juego de acción y aventura de rol, publicado por el estudio independiente Re-Logic; y que combina exploración, construcción y combate."
,Metal Gear Wiki,http://es.metalgear.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/b/bd/ES_Metal_Gear_480.png,"Metal Gear Wiki es la enciclopedia en español dedicada a la franquicia de videojuegos Metal Gear. Se trata de un proyecto que trata de recopilar toda la información relacionada con este producto creado por Konami; englobando desde los primeros clásicos, la exitosa Metal Gear Solid, y la nueva  saga Rising."
,The King of Fighters Wiki,http://es.kof.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/b/be/ES_King_of_Fighters_480.png,"The King of Fighters Wiki es la enciclopedia en español dedicada a la saga de videojuegos de lucha desarrollada por SNK. El proyecto recopila toda la información referente a las famosas entregas de combate por equipos, incluyendo otro material como manga y una película."
,Sonic Wiki,http://es.sonic.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/3/3d/ES_Sonic_480.png,"Sonic Wiki es la enciclopedia en español dedicada al conocido personaje de la compañía Sega. Este proyecto recopila toda la información relacionada con el mismo; ya sean videojuegos protagonizados por él o donde colabora, las series de televisión y los cómics."
,Megaman HQ,http://es.megaman.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/e/e8/ES_Megaman_480.png,"Megaman HQ es la enciclopedia en español dedicada a Mega Man. Este proyecto recopila toda la información relacionada con el popular personaje creado por Capcom; desde los videojuegos protagonizados por él, y otros productos como manga y anime o cómics."
,Animal Crossing Encyclopedia,http://es.animalcrossing.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/7/73/ES_Animal_Crossing_480.png,Animal Crossing Encyclopedia es la enciclopedia en español dedicada a la franquicia de videojuegos producida por Nintendo. El proyecto trata de recopilar toda la información relacionada con la saga dedicada a la simulación de vida de animales antropomórficos con el uso de tiempo real.
,Wikijuegos,http://videojuego.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/0/0a/ES_Games_480.png,Wikijuegos es la enciclopedia en español dedicada al mundo de los videojuegos. En este proyecto se trata de recopilar toda la información referente a esta empresa audovisual; incluyendo una recopilación de todos los wikis de Wikia que están dedicados a alguna saga.
,Kirbypedia,http://es.kirby.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/2/24/ES_Kirby_480.png,"Kirbypedia es la enciclopedia en español dedicada al popular personaje de Nintendo. El proyecto recopila toda la información relacionada con la saga de videojuegos protagonizada por Kirby; además de otras colaboraciones como Super Smash Bros e incluso una serie de anime, manga y cómics."
,Touhou Español,http://es.touhou.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/7/7c/ES_TouTou_480.png,Touhou Español es la enciclopedia en español dedicada a Touhou Project. Este proyecto colaborativo trata de recopilar toda la información referente a esta saga de videojuegos shoot 'em up; donde el esquivo de balas y la importancia de los personajes son sus principales características.
,Metroidover,http://es.metroid.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/1/11/ES_Metroid_480.png,"Metroidover es la enciclopedia en español dedicada a la saga Metroid. El proyecto recopila toda la información de esta saga de videojuegos de acción-aventura de ciencia ficción producida por Nintendo, donde Samus Aran va en búsqueda de los piratas y los temidos androides."
,Transformice Wiki,http://es.transformice.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/f/fc/ES_Transformice_480.png,Transformice Wiki es la enciclopedia en español dedicada al videojuego creado por Melibellule y Tigrounette. Es un proyecto colaborativo que recopila toda la información dedicada a este juego independiente multijugador de plataformas donde los protagonistas son los ratones y la búsqueda de queso.
,SmashPedia,http://es.ssb.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/1/13/ES_Smash_480.png,"SmashPedia es la enciclopedia en español dedicada al universo Super Smash Bros. El proyecto recopila toda la información relacionada con esta saga de lucha de Nintendo; que combina franquicias de la compañía como Mario, Zelda o Pokémon, y otras colaboraciones como Sonic o Metal Gear. "
,Mass Effect Wiki,http://es.masseffect.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/8/82/ES_Mass_Effect_480.png,Mass Effect Wiki es la enciclopedia en español dedicada a la saga de videojuegos desarrollada por BioWare. El proyecto trata de recopilar toda la información referente a estas entregas de rol de acción de ciencia ficción; protagonizada por el personalizable Comandante Shepard.
,Devil May Cry Wiki,http://es.devilmaycry.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/b/b3/ES_Devil_May_Cry_480.png,"Devil May Cry Wiki es la enciclopedia en español dedicada a la saga de videojuegos homónima. Este proyecto trata de recopilar toda la información relacionada con estas entregas de acción y beat 'em up desarrolladas por Capcom, donde debes acompañar a Dante en su trabajo como cazarrecompensas. "
,Yume Nikki en español Wiki,http://es.yumenikki.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/5/5f/ES_Yume_480.png,"Yume Nikki en español Wiki es la enciclopedia dedicada al videojuego creado por el desarrollador homebrew japonés Kikiyama. El proyecto recopila información sobre este juego de aventuras independiente; que explora los sueños de Madotsuki, con paisajes surrealistas y criaturas extrañas."
,L.A. Noire Wiki,http://es.lanoire.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/f/f0/ES_LA_noire_480.png,"L.A. Noire Wiki es la enciclopedia en español dedicada al videojuego creado por Team Bondi. Se trata de un proyecto colaborativo que recopila toda la información acerca de este thriller que combina el sandbox y la aventura gráfica, acompañando a Cole Phelps y Jack Kelso y sus vivencias."
,Dead Space Wiki,http://es.deadspace.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/5/5c/ES_Dead_Space_480.png,Dead Space Wiki es la enciclopedia en español dedicada a la saga de videojuegos creada por Electronic Arts. El proyecto recopila la información relacionada con estas entregas de survival horror y shooter en tercera persona; y que también incluyen dos películas y una serie de cómics.
,Wiki Bloody Roar,http://es.bloodyroar.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/7/79/ES_Bloody_Roar_480.png,Wiki Bloody Roar es la enciclopedia en español dedicada a la saga de videojuegos de peleas uno contra uno desarrollada por Hudson Soft y Eighting. Se trata de un proyecto que recopila toda la información relacionada con estas entregas caracterizadas por la transformación de cada luchador en una bestia.
,Spore Wikia,http://es.spore.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/e/e1/ES_Spore_480.png,"Spore Wikia es la enciclopedia en español dedicada a la franquicia de videojuegos Spore. Se trata de un proyecto que recopila información sobre esta nueva saga de simulación de vida y estrategida desarrollada por Maxis tras su éxito con los Sims, caracterizado por mostrar la evolución de especies ficticias."
,BioShock Wiki,http://es.bioshock.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/8/87/ES_Bioshock_480.png,BioShock Wiki es la enciclopedia en español dedicada a la saga de videojuegos de disparos en primera persona creada por 2K Games. Este proyecto recopila información sobre estas entregas caracterizadas por la supervivencia de Jack en un mundo con mutaciones y poderes especiales.
,Valve Wiki,http://es.valve.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/a/a0/ES_Valve_480.png,"Valve Wiki es la enciclopedia en español dedicada a la compañía de videojuegos homónima. Este proyecto recopila toda la información relacionada con las famosas entregas desarrolladas por Valve; como ahora la famosa saga Half-Life, Portal, Counter-Strike, Left 4 Dead o Team Fortress."
,Mafia Wiki,http://es.mafia.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/a/a9/ES_Mafia_480.png,"Mafia Wiki es la enciclopedia en español dedicada a la saga de videojuegos desarrollada por 2K Games. El proyecto recopila toda la información sobre las dos entregas principales; The City of the Lost Heaven y Mafia II, además de otros complementos como Jimmy’s Vendetta o The Betrayal of Jimmy."
,Assassin's Creed Wiki,http://es.assassinscreed.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/2/2f/ES_Assassins_Creed_480.png,Assassin's Creed Wiki es la enciclopedia en español dedicada a la conocida saga de videojuegos de acción-aventura de ambientación histórica creados por Ubisosft. Se trata de un proyecto que trata de recopilar toda la información relacionada con la franquicia; incluyendo también todo el material derivado.
,Wiki Drama,http://es.drama.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/1/1c/ES_Drama_480.png,"Wiki Drama es una enciclopedia en español dedicada al análisis de las series de televisión japonesas de género dramático. Se trata de un proyecto que recopila toda la información acerca de dichas producciones; incluyendo sus personajes, actores, bandas sonoras y el resto de equipo técnico que trabaja en las mismas."
,Naruto Wiki,http://es.naruto.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/8/8c/ES_Naruto_480.png,"Naruto Wiki es la enciclopedia en español dedicada a la serie de televisión homónima. El proyecto recopila toda la información acerca de las vivencias de Naruto Uzumaki y su intención de convertirse en Hokage; y que ha derivado en series de manga, anime, videojuegos y otro material."
,Digimon Wiki,http://es.digimon.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/f/fc/ES_Digimon_480.png,"Digimon Wiki es la enciclopedia en español dedicada a la famosa franquicia creada por Bandai. El proyecto recopila toda la información relacionada con este producto; desde la conocidas series de anime, los mangas, videojuegos, mascotas virtuales y otro gran material de merchandising."
,Dragon Ball Wiki,http://es.dragonball.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/0/02/ES_Dragon_Ball_480.png,"Dragon Ball Wiki es la enciclopedia en español dedicada a la famosa franquicia creada por Akira Toriyama. Este proyecto recopila información relacionada con sus productos; como la exitosa serie de manga, su versión de anime y otras como Z o GT; además de material relacionado como videojuegos."
,Doblaje Wiki,http://doblaje.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/7/7d/ES_Doblaje_480.png,"Doblaje Wiki es una enciclopedia en español dedicada al análisis del mundo del doblaje hispanoamericano. Este proyecto colaborativo trata de recopilar información relacionada con los actores de doblaje, los originales, sus películas y series donde participan, y la clasificación por el trabajo realizado en cada país."
,One Piece Wiki,http://es.onepiece.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/f/f2/ES_One_Piece_480.png,"One Piece Wiki es la enciclopedia en español dedicada a la franquicia creada por Eiichiro Oda. El proyecto recopila información acerca de todos los productos creados; desde el manga, su adaptación al anime, la película o el videojuego publicado para Game Boy Advance."
,Ben 10 Wiki,http://es.ben10.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/4/44/ES_Ben10_480.png,"Ben 10 Wiki es la enciclopedia en español dedicada a la serie animada emitida por Cartoon Network. El proyecto trata sobre toda la información relacionada con las aventuras de Ben Tennyson; incluyendo la serie de televisión original y sus derivadas, sus películas y videojuegos."
,Inazuma Eleven Wiki,http://es.inazuma.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/6/6e/ES_Inazuma_Eleven_480.png,"Inazuma Eleven Wiki es una enciclopedia dedicada a la franquicia creada por Nintendo. El proyecto engloba toda la información relacionada con esta creación de fútbol y ciencia ficción; desde la saga original de videojuegos de rol, y sus adaptaciones al manga y series de anime, además de las películas derivadas."
,Star Wars Wiki,http://es.starwars.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/2/2a/ES_Star_Wars_480.png,"Star Wars Wiki es la enciclopedia en español dedicada a la franquicia creada por George Lucas. Este proyecto recopila toda la información referente a este universo; desde la exitosa saga de películas original, hasta el resto de productos audiovisuales y de merchandising que derivan de ellas."
,Bleach Wiki,http://es.bleach.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/9/9c/ES_Bleach_480.png,"Bleach Wiki es una enciclopedia dedicada al manga y al anime creados por Tite Kubo. Es un proyecto dedicado a recopilar información sobre las aventuras de Ichigo Kurosaki, un adolescente con poderes de una shinigami, y las aventuras que derivan del mismo."
,Wiki Glee,http://es.glee.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/c/ca/ES_Glee_480.png,"Wiki Glee es la enciclopedia en español dedicada a la serie emitida por Fox. En este proyecto colaborativo se recopila toda la información referente a esta comedia musical; incluyendo sus personajes, actores o los episodios de sus temporadas; además de otros productos relacionados como videojuegos o libros."
,Harry Potter Wiki,http://es.harrypotter.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/4/4b/ES_Harry_Potter_480.png,"Harry Potter Wiki es la enciclopedia en español dedicada a la franquicia creada por la autora J. K. Rowling. El proyecto recopila toda la información sobre Harry Potter y sus aventuras en el Colegio Hogwarts; desde la saga de libros, sus adaptaciones cinematográficas, y los videojuegos publicados."
