Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Wookieepedia,starwars.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/8/89/Wookieepedia320.jpg,"Wookieepedia is a wiki-based online encyclopedia that contains detailed information about the Star Wars universe, including movies, books, video games, characters, locations, technology, weapons, vehicles and everything in between.",http://images1.wikia.nocookie.net/joeplayground/images/9/94/Wookieepedia2.jpg,http://images3.wikia.nocookie.net/joeplayground/images/7/7f/Wookieepedia3.jpg,,,
,TibiaWiki,tibia.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/e/e5/Tibia320.jpg,"With over 9,800 pages, at TibiaWiki you will find information for practically everything that exists in Tibia. Whether you are looking for text of a book, want to know how to obtain a certain item, or need hints for a quest, we've got you covered.",http://images4.wikia.nocookie.net/__cb20120508231214/joeplayground/images/a/ab/Tibia2.jpg,http://images2.wikia.nocookie.net/__cb20120508231214/joeplayground/images/b/b4/Tibia3.jpg,,,
,Glee Wiki,glee.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/3/3b/Glee320.jpg,"Glee Wiki is a community website about the FOX TV show Glee, including Glee Club, cast, Entertainment, episodes, and more. Join the community today and show how much of a Gleek you are by sharing your love of the show. ",http://images1.wikia.nocookie.net/joeplayground/images/5/57/Glee2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/a/a8/Glee3.jpg,,,
