,Wiki Name,Wiki URL,Vertical,Primary image,Description
,Sonic Wiki,http://pl.sonic.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/d5/Plsonic.jpg,"Sonic Wiki to tworzona przez społeczność baza danych na temat gier, anime i innych rzeczy związanych z Soniciem. Dowiedz się więcej o bohaterach, antybohaterach, poziomach i przedmiotach występujących w świecie Sonica."
,RisenPedia,http://pl.risen.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/a/a1/Plrisen.jpg,"RisenPedia to baza danych o grach z serii Risen; pełnej pirackich motywów i morskich krajobrazów grze RPG, utworzonej przez Piranha Bytes i wydanej przez Deep Silver. Pierwsza część gry wydana została w roku 2009, a jej następca, Risen 2: Mroczne Wody, w kwietniu 2012."
,S.T.A.L.K.E.R. Wiki,http://pl.stalker.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/1/11/Plstalker.jpg,"S.T.A.L.K.E.R. Wiki to społeczność budująca najlepsze i najdokładniejsze źródło in formacji na temat gier S.T.A.L.K.E.R.: Cień Czarnobyla, S.T.A.L.K.E.R.: Czyste Niebo i  S.T.A.L.K.E.R.: Zew Prypeci. Wiki zawiera niemal 200 stron opisujących świat, historię, bronie i postacie przedstawione w grach."
,WoWWiki,http://pl.wow.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/4/4a/Plwow.jpg,"WoWWiki to wiki poświęcona katalogowaniu informacji na temat uniwersum Warcraft, ze szczególnym naciskiem na MMORPG World of Warcraft. Opisuje wszystko, począwszy od historii przedstawionego świata, przez klasy i profesje dostępnych postaci, aż po wskazówki i porady dla graczy."
,Saints Row Wiki,http://pl.saintsrow.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/f/fa/Plsaintsrow.jpg,"Saints Row Wiki to tworzona przez społeczność fanów strona o serii gier Saint Row, zawierająca opisy misji, mapy, sekrety i wiele więcej. Odkrywaj i dodawaj nowe informacje o Saints Row, Saints Row 2, Saints Row: The Third i Saints Row IV! "
,Wiki Club Penguin Polska,http://pl.clubpenguin.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/e/e3/Plclubpenguin.jpg,Wiki Club Penguin Polska to wiki o popularnej internetowej grze MMORPG Club Penguin. Celem wiki jest zbieranie i utrzymywanie informacji o grze jak i o jej historii. Setki stron pełne są informacji o grze i występujących w niej wydarzeniach. Odwiedź nas i pomóż w rozbudowie!
,Dishonored Wiki,http://pl.dishonored.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/6/60/Pldishonored.jpg,"Wciel się w Corvo Attano w jego wędrowce po zemstę. Legendarny osobisty ochroniarz Jessamine Kaldwin niesłusznie oskarżony zostaje o zabójstwo Cesarzowej. Dołącza on do grupy Lojalistów i poprzysięga zemstę na tych, którzy spiskowali przeciw niemu. "
,Tomb Raider Wiki,http://pl.tombraider.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/d/de/Pltombraider.jpg,Tomb Raider Wiki to tworzona dzięki współpracy fanów skarbnica wiedzy o serii Tomb Raider. Od pierwszej gry z Larą Croft aż do najnowszej - tutaj znajdziesz poszukiwane informacje. Wszystkich czytelników zapraszamy do odkrywania zawartości i do współtworzenia z nami tej wiki!
,Deus Ex Wiki,http://pl.deusex.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/b/b0/Pldeusex.jpg,"Deus Ex Wiki to kompleksowe kompendium wiedzy o serii gier Deus Ex, zawierające informacje o postaciach, broniach, miejscach, organizacjach, technikach i wielu innych aspektach świata przedstawionego w Deus Ex."
,Max Payne Wiki,http://pl.maxpayne.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/9/95/Plmaxpayne.jpg,"Max Payne Wiki polska wersja encyklopedii o grach z serii Max Payne którą każdy może edytować. Wyjątkowy klimat, niepowtarzalna rozgrywka i doskonale opowiedziana historia czynią serię Max Payne kultową! Dołącz do nas i pomóż zbudować największą bazę danych o grach z serii."
,Alice Wiki,http://pl.alice.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/a/a5/Plalice.jpg,"Wiki o American McGee's Alice oraz Alice: Madness Returns, grach o Alice. Wiki ta jest polskim odpowiednikiem angielskiej Alice Wiki. Wiki założona została dnia 14 czerwca 2012 roku i od tego czasu edytorom udało się zbudować ponad 100 artykułów opisujących świat Alice."
,Need for Speed Wiki,http://pl.nfs.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/9/91/Plnfs.jpg,"Need for Speed Wiki to rosnące źródło informacji o grach z serii Need for Speed. Od pierwszej z nich, wydanej w 1994 ""The Need for Speed"" po najnowsze wersje - na wiki staramy się opisać je wszystkie, wraz ze szczegółami dotyczącymi dostępnych samochodów, lokacji czy trybów gry."
,Wolfenstein Wiki,http://pl.wolfenstein.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/6/6b/Plwolfenstein.jpg,"Ta wiki opisuje wszystkie aspekty gier z serii Wolfenstein; począwszy od  wydanej w 1992 Wolfenstein 3D (a nawet wcześniejszych!), aż po nadchodzący Wolfenstein: The New Order. Wszyscy użytkownicy i fani serii mogą swobodnie przeglądać, i rozbudowywać zawartość!"
,TekkenPolska Wiki,http://pl.tekkenpolska.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/d/de/Pltekkenpolska.jpg,"TekkenPolska Wiki to najlepsze źródło informacji dla wszystkich graczy i fanów serii bijatyk Tekken. Wiki opisuje gry, bohaterów, poziomy i wiele innych aspektów serii. Nowi użytkownicy znajdą wiele możliwości podzielenia się swoją wiedzą. Jeśli znajdziesz na wiki coś, co nie brzmi poprawnie, nie bój się tego poprawić!"
,Harry Potter Wiki,http://pl.harrypotter.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/f/ff/Plharrypotter.jpg,"Harry Potter Wiki to społeczność zbierająca wszystkie dostępne informacje na temat serii książek J. K. Rowling jak i powiązanych z nią tematów, takich jak filmy czy bieżące wydarzenia. Dołącz do nas i podziel się swoją pasją do Harry'ego Pottera!"
,Naruto Wiki,http://pl.naruto.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/4/45/Plnaruto.jpg,"Naruto Wiki to wiki o mandze, anime, filmach, grach i bohaterach serii Masashiego Kishimoto - Naruto i o marzeniu tytułowego bohatera, który pragnie zostać zauważony przez mieszkańców swojej osady i zostać jej przywódcą - Hokage."
,My Little Pony Friendship is Magic Wiki,http://pl.mlp.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/8/80/Plmlp.jpg,"My Little Pony Friendship is Magic Wiki to wiki poświęcona kultowemu serialowi animowanemu ""My Little Pony"" i wszystkiemu co z nim związane. Znajdują się na niej informacje na temat kucyków występujących w serii, odcinków i piosenek, a także fantastyczna społeczność fanów, do której na pewno zechcesz dołączyć!"
,Slugterra Wiki,http://pl.slugterra.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/7/77/Plslugterra.jpg,"Witaj na Slugterra Wiki! To jedyna polskojęzyczna encyklopedia dotycząca serialu Slugterra. Codziennie dokładamy wszelkich starań, by była ona jak najprzejrzystsza i najprostsza w odbiorze, więc rozgość się i zacznij zwiedzanie! "
,Bleach Wiki,http://pl.bleach.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/6/61/Plbleach.jpg,"Jedno z największych, polskojęzycznych źródeł informacji o Bleach - mandze autorstwa Tite Kubo. Obok opisu samej mangi, na wiki znajdują się też artykuły o anime, grach, filmach, postaciach serii jak i przedstawionym w niej świecie."
,Dragonball Wiki,http://pl.dragonball.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/9/97/Pldragonball.jpg,"Dragon Ball Wiki to polska encyklopedia-przewodnik po uniwersum Smoczego Świata czyli: mangach, anime, grach, gadżetach, filmach live-action oraz wszystkim, co związane z Dragon Ballem, którą każdy może edytować."
,Fairy Tail Wiki,http://pl.fairytail.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/c/c3/Plfairytail.jpg,"Fairy Tail Wiki poświęcona jest w całości mandze i anime Fairy Tail stworzonej przez Hiro Mashima. Celem wiki jest tworzenie możliwie kompletnego zbioru informacji o Fairy Tail, włączając w to opisy postaci, odcinków, miejsc i gildii występujących w serii."
,Ben 10 Wiki,http://pl.ben10.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/9/9e/Plben10.jpg,"Ben 10 Wiki to polska encyklopedia poświęcona serialowi animowanemu Cartoon Network - Ben 10. Celem wiki jest zdobycie wszystkich informacji dotyczących serialu jak i utworzenie miejsca dla członków społeczności, aby mogli dzielić się swoimi poglądami. Dołącz do nas już teraz!"
,Śródziemie Wiki,http://pl.lotr.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/5/54/Pllotr.jpg,"Śródziemie Wiki to strona, która poświęcona jest twórczości J. R. R. Tolkiena. Znajdziesz tutaj wszelkie informacje na temat świata stworzonego przez Tolkiena: m.in. mitologii, postaci, ras, przyrody, geografii, a także jego książek i ich ekranizacji. Już dzisiaj rozpocznij edytowanie lub tworzenie nowych artykułów!"
,One Piece Wiki,http://pl.onepiece.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/e/ec/Plonepiece.jpg,"One Piece Wiki to polska encyklopedia ""One Piece"". Naszym celem jest dostarczenie jak największej liczbie czytelników rzetelnych i wyczerpujących informacji dotyczących świata przedstawionego w ""One Piece"". Znajdziesz tutaj opisy występujących w serii postaci, odcinków czy lokalizacji i wiele więcej!"
,Pora na Przygodę Wiki,http://pl.pora-na-przygode.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/f/f1/Plpora-na-przygode.jpg,"Pora na Przygodę Wiki to encyklopedia, która wie wszystko o Krainie Ooo! Dowiesz się tutaj wszystkiego o przygodach Człowieka Finna, jego brata, psa Jake'a oraz pozostałych bohaterów serialu Pora na Przygodę. Dołącz do przygody już teraz!"
